ym,industry,MediaTypeID,count,exp,products,brands,nunique.ads,nunique.days,total.imp
2015-01,D1,27,56,1460836,5,5,7,27,32671356
2015-02,D1,27,94,1450310,3,6,7,28,45736090
2015-03,D1,27,109,1113768,3,4,6,31,36729478
2015-06,B4,27,388,7710050,6,23,31,30,225279824
2015-07,B4,27,321,5907168,6,19,35,31,181915177
2015-08,B4,27,275,3847503,6,14,24,30,104914926
2015-09,B4,27,306,3508791,5,11,27,27,106725791
2015-10,B4,27,233,4240204,5,15,29,27,115432448
2015-11,B4,27,291,4652545,4,14,25,30,122824356
2015-12,B4,27,184,3604620,4,14,19,27,98254241
2015-01,B2,27,197,4592588,3,7,24,31,161435932
2014-12,B2,27,27,49071,3,7,9,3,4293993
2015-02,B2,27,222,5559946,3,6,19,28,179568381
2015-03,B2,27,250,5907693,2,5,21,31,178793123
2015-04,B2,27,294,4758583,2,4,17,30,222335322
2015-05,B2,27,229,3100613,3,6,16,31,148956237
2015-06,B2,27,192,4055218,4,7,16,30,216076369
2015-07,B2,27,275,4771623,4,7,21,31,242944741
2015-08,B2,27,250,3528872,3,6,15,31,150598368
2015-09,B2,27,314,2709545,4,6,17,30,137268121
2015-10,B2,27,346,3485637,4,7,17,31,118297829
2015-11,B2,27,443,4268467,4,12,22,30,132767799
2015-12,B2,27,486,5755194,4,12,23,27,186380359
2014-12,B2,28,12,8712,2,4,4,3,1814211
2015-01,B2,28,85,1085598,4,8,8,31,43020471
2015-02,B2,28,129,1211417,4,6,7,28,42879040
2015-04,B2,28,8,8060,2,2,2,4,1283156
2015-05,B2,28,186,484825,3,6,7,31,49793889
2015-06,F3,27,114,1502572,3,4,9,30,49140543
2015-07,F3,27,177,928425,2,3,12,31,29900670
2015-01,B4,28,43,221734,5,5,6,31,6691950
2015-02,B4,28,131,375571,4,6,11,28,9569095
2015-06,T4,28,524,3314381,7,20,29,30,66898783
2015-11,T4,28,419,1136191,9,15,23,30,22014510
2015-12,T4,28,447,839739,10,17,23,27,16265707
2015-12,H3,28,14,20834,1,2,3,14,402802
2015-07,T4,28,414,2413388,4,16,23,31,50612888
2014-12,H3,27,15,93852,1,4,5,3,4744077
2015-01,H3,27,46,441298,2,6,7,25,15181097
2015-09,G3,27,38,627407,2,4,5,16,20096431
2015-10,G3,27,70,243856,6,7,7,24,9194507
2015-12,G3,27,182,666007,3,5,10,27,43344474
2015-04,G3,28,236,323139,7,9,15,30,6432882
2015-06,G3,28,530,1432427,10,20,26,30,28206433
2015-12,G3,28,552,595281,8,19,24,27,11549475
2015-07,B3,27,48,1119764,2,3,7,22,43529535
2015-08,B3,27,167,1601526,2,3,10,31,64093813
