ym,industry,MediaTypeID,count,exp,avg.off,products,brands,nunique.ads,nunique.coupons,nunique.days
2010-01,F1,12,16176,15722109,0.802342977250247,99,432,1055,16176,5
2010-02,F1,12,9114,9210169,0.810407066052227,69,239,439,9114,4
2010-03,F1,12,15805,15332671,0.814180322682695,102,426,843,15805,4
2010-05,F1,12,13076,12427962,0.796605995717345,97,373,695,13076,5
2010-06,F1,12,10885,11177322,0.885142857142857,104,366,649,10885,4
2010-07,F1,12,5075,4860126,0.818334975369458,51,126,261,5075,4
2010-08,F1,12,12325,12448539,0.797841784989858,95,361,651,12325,5
2010-09,F1,12,10877,10268063,0.847765928105176,76,287,525,10877,3
2010-10,F1,12,12850,13179386,0.828070038910506,102,408,784,12850,5
2010-11,F1,12,14053,13241533,0.776296164520031,110,410,748,14053,4
2010-01,D2,12,10584,8104798,2.17639833711262,28,163,252,10584,5
2010-05,D1,12,11137,8443220,1.61561192421658,52,201,317,11137,4
2010-07,D1,12,7106,6098206,1.48724739656628,44,133,226,7106,4
2010-04,F1,12,6536,6579339,0.944813341493268,76,201,387,6536,4
2010-01,H4,12,3737,2766546,1.06451699223976,21,65,144,3737,5
2010-02,H4,12,2475,1939503,0.912747474747475,17,43,97,2475,4
2010-04,H4,12,3007,2235494,1.34398071167276,18,58,104,3007,4
2010-02,D2,12,4386,3921854,2.20062015503876,20,69,93,4386,4
2010-04,D2,12,4875,3534160,2.62851282051282,24,78,118,4875,4
2010-06,D2,12,5268,4102821,1.89666856492027,24,86,133,5268,4
2010-07,D2,12,2727,1950555,2.02310231023102,13,42,54,2727,4
2010-08,D2,12,4781,4021987,2.69258523321481,24,85,128,4781,5
2010-09,D2,12,3912,3222238,2.56459611451943,22,76,101,3912,3
2010-10,D2,12,7725,6175487,2.53942265372168,26,113,167,7725,5
2010-02,F3,12,16,17892,5,2,2,3,16,2
2010-11,F3,12,192,164613,2.89583333333333,4,14,39,192,3
2010-05,G5,12,2921,2356278,1.48654228004108,15,59,88,2921,4
2010-10,G5,12,3361,2679755,1.22780124962809,14,52,72,3361,5
2010-02,G5,12,3422,2420373,1.19973699590883,13,44,61,3422,4
2010-03,G5,12,2362,2182844,1.37316257408975,10,37,48,2362,4
2010-04,G5,12,2087,1616191,1.25146142788692,12,32,43,2087,3
2010-07,G5,12,1567,1548059,1.26922782386726,10,34,46,1567,4
2010-08,G5,12,2515,2023332,1.2902902584493,11,51,80,2515,5
2010-05,D2,12,6461,4994731,2.09559665686426,30,111,149,6461,4
2010-03,H2,12,3777,2896022,1.59247815726767,26,65,106,3777,4
2010-06,H2,12,2297,1986214,1.48342620809752,18,41,65,2297,4
2010-07,H2,12,2035,1662596,1.38950368550369,10,34,59,2035,4
2010-10,H2,12,3031,2322167,1.59623556581986,18,51,85,3031,5
2010-01,D1,12,11862,9202819,1.52261675939976,51,193,338,11862,5
2010-03,D1,12,11139,9485193,1.45736780680492,53,192,315,11139,4
2010-04,D1,12,8621,7187389,1.42942814058694,55,175,270,8621,4
2010-06,D1,12,11475,9288727,1.70785533769063,57,200,288,11475,4
2010-08,D1,12,12179,9353150,1.69258395598982,60,239,422,12179,5
2010-10,D1,12,10220,8488222,1.80890508806262,49,179,303,10220,5
2010-12,D1,12,5176,4070292,2.20437789799073,47,110,189,5176,3
2010-12,D2,12,2677,2166897,2.50478147179679,17,59,78,2677,3
2010-12,F1,12,5043,4819485,0.908189569700575,78,198,307,5043,3
2010-01,F2,12,3235,3043055,0.832890262751159,13,68,126,3235,5
2010-02,F2,12,1551,1677178,0.797711154094133,10,27,53,1551,4
2010-03,D2,12,5979,4828306,2.47963371801305,23,100,148,5979,4
2010-09,F2,12,1955,1975471,0.861416879795396,12,40,64,1955,3
2010-11,F2,12,1248,1324242,0.9140625,9,27,46,1248,3
2010-05,F2,12,2604,2377169,0.785253456221198,17,67,120,2604,5
2010-06,F2,12,1475,1438883,0.778745762711864,12,35,56,1475,4
