ym,industry,MediaTypeID,count,exp,products,brands,nunique.ads,nunique.days,total.imp
2011-02,B1,25,123525,64747494,220,7733,8751,4,11618409093
2011-04,B1,25,139425,64165045,215,8220,9299,4,11182609662
2011-08,B1,25,176861,81942717,215,7899,8952,5,14212148256
2011-07,B1,25,150139,68720434,218,7461,8340,4,12342786957
2011-03,G3,25,17778,9347250,71,1714,1794,4,1764127790
2011-04,G3,25,19395,9815783,75,1745,1830,4,1757060750
2011-02,G3,25,15728,8677994,69,1651,1734,4,1717284369
2011-03,G3,26,5419,1739049,61,1207,1244,4,267830941
2011-04,G3,26,6360,2097112,63,1243,1287,4,295701186
2011-05,B1,25,173025,86337284,219,8623,9723,5,14890854243
2011-06,B1,25,138789,67235808,219,7749,8729,4,11931848799
2011-09,B1,25,147000,65555306,223,7525,8569,4,11563246759
2011-11,B1,25,137762,69716758,211,8103,9290,4,8035543123
2011-12,B1,25,109080,54878667,202,6802,7801,3,5332826365
2011-08,B1,26,48451,11227120,183,4094,4572,5,1564002003
2011-11,B1,26,36834,14332751,176,4214,4754,4,1355807689
2011-12,B1,26,29788,11848146,173,3532,3977,3,1048572550
2011-01,B1,25,156887,82429119,229,9806,10955,5,18353859231
2011-05,B1,26,42212,11529985,186,4439,4927,5,1651302700
2011-07,D2,25,20484,10070938,129,1685,1788,4,1648821846
2011-08,D2,25,25194,11524329,133,1806,1917,5,1753985719
2011-08,D2,26,6473,1442580,75,1068,1110,5,201975403
2011-07,D2,26,4985,1296278,79,972,1010,4,180676017
2011-02,D2,25,21110,10263386,121,1782,1891,4,1706523723
2011-09,D2,25,24297,10589034,128,1785,1903,4,1704742046
2011-10,D2,25,27907,12510509,134,2007,2143,5,2120073229
2011-11,D2,25,22273,12870153,131,1892,2026,4,1334935258
2011-09,D2,26,6234,1403871,76,1065,1114,4,201570409
2011-10,D2,26,7278,1677371,79,1201,1257,5,264685303
2011-02,D2,26,5366,1347739,81,1057,1097,4,220645466
2011-11,D2,26,5629,1805086,84,1138,1188,4,184525346
2011-03,D2,25,21285,10426191,120,1769,1878,4,1711671036
2011-05,D2,25,27351,13956045,131,1893,2012,5,2371761930
