ym,industry,MediaTypeID,count,exp,size,products,brands,nunique.ads,nunique.days
2011-01,T1,7,439,63560175,558.907,21,152,236,13
2011-03,T1,7,659,91392684,811.41,20,197,318,16
2011-09,T1,7,719,84584648,798.235,22,298,448,16
2011-10,T1,7,777,95459332,888.154,20,279,466,15
2011-11,T1,7,727,90981554,829.158,20,254,415,16
2011-12,T1,7,637,80434425,757.408,24,239,373,16
2011-03,T1,8,68,758129,3.997,10,56,57,1
2011-04,T1,8,89,835529,5.431,10,67,69,1
2011-06,T1,8,90,857141,5.59,8,69,72,1
2011-07,T1,8,79,793228,3.551,10,70,71,1
2011-08,T1,8,92,952062,5.35,10,76,79,1
2011-09,T1,8,111,1105225,8.278,12,83,83,1
2011-10,T1,8,103,1358188,7.192,11,83,84,1
2011-01,B1,8,1436,6789607,348.979,103,1224,1242,4
2011-02,B1,8,1147,5965928,262.2,108,960,977,5
2011-03,B1,8,1479,7671775,348.231,115,1247,1266,5
2011-05,B1,8,1392,8743421,324.277,112,1168,1195,6
2011-09,B1,8,1619,8599119,374.372,111,1350,1376,5
2011-04,G3,7,234,16880144,203.072,27,160,196,10
2011-07,G3,7,216,16817157,185.405,30,138,171,9
2011-05,T4,8,660,5327605,158.835,26,482,523,6
2011-06,T4,8,625,4630151,148.403,26,467,507,6
2011-07,T4,8,470,2788688,107.949,27,351,384,4
2011-08,T4,8,484,3566532,102.922,25,371,395,5
2011-10,T4,8,481,3221142,112.039,22,356,394,5
2011-10,D2,8,731,4219546,155.679,30,647,656,5
2011-01,D2,8,738,4741820,157.891,29,656,663,4
2011-02,D2,8,666,3946530,141.046,25,605,608,4
2011-03,D2,8,572,3061066,126.535,28,512,522,3
2011-11,D2,8,819,5513162,170.809,24,711,739,3
2011-12,D2,8,926,6264980,180.146,29,843,859,3
2011-04,D2,8,741,4176897,145.788,22,642,659,3
2011-05,D2,8,649,3948935,137.685,23,578,590,5
2011-08,D2,8,767,4368873,158.482,28,680,691,3
2011-06,D2,8,581,3342977,109.266,25,519,527,4
2011-01,D2,7,772,100373303,1000.303,59,331,455,15
2011-02,D2,7,891,113259121,1022.879,70,387,532,13
2011-04,D2,7,938,123609736,1156.209,77,433,615,14
2011-05,D2,7,942,127515367,1206.456,77,397,562,16
2011-06,D2,7,954,125617965,1165.793,79,429,598,15
2011-07,D2,7,790,103030325,1043.213,66,371,509,12
2011-08,D2,7,697,94185400,873.557,74,349,461,12
2011-11,D2,7,941,130730541,1208.045,78,414,549,13
2011-12,D2,7,873,120118764,998.633,71,376,477,16
2011-07,D2,8,662,3746165,137.938,24,599,606,3
2011-09,D2,8,640,3826944,119.413,28,563,572,3
2011-10,D2,7,910,114028801,1057.542,78,441,564,16
2011-03,D2,7,945,123385037,1162.118,72,398,566,12
2011-09,D2,7,932,127413751,1231.625,82,411,542,14
2011-05,F1,7,776,107023351,745.314,83,238,315,14
2011-08,F1,7,524,73020979,498.84,76,206,265,8
2011-01,B7,7,155,6064249,70.512,2,132,153,3
2011-03,B7,7,39,2136294,27.247,2,34,37,5
2011-04,B7,7,47,3695259,31.497,2,31,41,4
