ym,industry,MediaTypeID,count,exp,seconds,products,brands,nunique.ads,nunique.days
2010-06,B1,2,200665,334291218,6961609,103,812,6578,30
2010-08,B1,2,216202,313950341,7569497,93,813,6779,31
2010-09,B1,2,213118,307944398,7408425,104,950,7455,30
2010-10,B1,2,222252,338502599,7807938,96,933,7391,31
2010-11,B1,2,224227,364469408,7867805,97,890,7492,30
2010-12,B1,2,234123,399707942,8433195,103,841,7081,31
2010-02,B1,1,3643,47608829,121168,46,183,764,28
2010-03,B1,1,4908,59662062,160585,45,200,895,31
2010-01,B1,1,4434,55614737,155980,48,213,901,31
2010-04,B1,1,3710,43800525,115220,51,194,799,30
2010-05,B1,1,3990,43192458,123630,47,192,863,31
2010-06,B1,1,4458,53702205,139495,43,169,780,30
2010-07,B1,1,4751,56906013,146124,40,187,907,31
2010-08,B1,1,4652,55294780,151363,40,199,860,31
2010-09,B1,1,4144,46253219,142562,45,191,828,30
2010-10,B1,1,4768,59079413,161965,39,189,884,31
2010-11,B1,1,4663,58913769,157695,38,190,819,30
2010-12,B1,1,5126,60314663,174953,46,195,807,31
2010-01,B1,2,215575,339744980,7543060,93,806,6378,31
2010-02,B1,2,184345,279968225,6318120,98,779,6331,28
2010-01,B1,4,11868,41271544,441545,35,128,574,31
2010-02,B1,4,11278,37760651,401090,37,135,573,28
2010-03,B1,4,12825,42940818,419565,32,137,639,31
2010-04,B1,4,12548,45183993,408105,34,139,606,30
2010-05,B1,4,10265,36386039,351875,32,139,597,31
2010-06,B1,4,9741,32696704,313970,30,127,550,30
2010-07,B1,4,6524,31394493,207590,27,110,434,31
2010-08,B1,4,6373,31414259,200895,27,104,437,31
2010-09,B1,4,6320,33493760,202380,30,110,455,30
2010-10,B1,4,7949,44034310,265380,32,106,518,31
2010-11,B1,4,7811,40515822,253660,31,108,504,30
2010-12,B1,4,7653,43408147,252286,32,122,514,31
2010-02,B1,22,16061,10122255,602375,32,149,480,28
2010-03,B1,22,17024,12023650,629990,36,149,557,31
2010-04,B1,22,16094,11061579,570495,32,131,579,30
2010-05,B1,22,14914,10835190,556350,32,118,475,31
2010-06,B1,22,14767,7572902,548435,36,123,587,30
2010-07,B1,22,18224,8874682,628012,40,124,522,31
2010-08,B1,22,17224,8528017,602060,40,126,516,31
2010-09,B1,22,17169,8914316,591100,38,130,508,30
2010-10,B1,22,17657,8957326,617580,35,122,530,31
2010-11,B1,22,18822,9621181,645415,33,120,508,30
2010-12,B1,22,18483,11625765,649400,33,120,519,31
2010-03,B1,2,210327,330402538,7225590,101,834,7086,31
2010-04,B1,2,197047,300359717,6589825,98,812,6775,30
2010-05,B1,2,196383,291882073,6559341,100,851,7162,31
2010-07,B1,2,210207,309311002,7410610,98,814,6468,31
2010-12,T1,1,828,11800224,24968,9,78,239,31
2010-03,T1,2,52764,93945489,1529135,25,257,1960,31
2010-06,T1,2,57803,108647010,1741625,28,271,2067,30
2010-07,T1,2,65981,110768953,1876230,26,291,2145,31
2010-09,T1,2,58342,98127754,1726500,27,307,2172,30
2010-10,T1,2,67951,125847150,2017625,28,301,2343,31
2010-11,T1,2,71354,142822184,2095715,25,299,2565,30
2010-12,T1,2,66116,139909734,1929780,24,269,1968,31
2010-02,D2,1,4913,49776599,162280,57,175,1088,28
2010-03,D2,1,5107,49576738,173129,60,172,1066,31
2010-01,D2,1,5451,53902631,179127,57,171,1210,31
2010-11,D2,1,4745,40681810,149430,54,135,876,30
2010-12,D2,1,5737,49895310,170926,54,145,957,31
2010-01,D2,2,126759,200682778,4411120,71,283,3147,31
2010-02,D2,2,113781,155918232,3791175,74,287,3073,28
2010-03,D2,2,100935,149234719,3439495,74,305,3205,31
2010-11,D2,2,93917,139628979,3208930,75,269,2630,30
2010-12,D2,2,99581,155532648,3208790,70,277,2736,31
2010-04,D2,3,2474,20452989,73865,50,140,681,27
2010-03,D2,3,3192,24179141,83345,53,151,785,30
2010-01,D2,3,3267,24081427,79020,49,150,844,31
2010-02,D2,3,2981,21542639,72620,51,148,722,27
2010-12,D2,3,3042,18563637,74510,46,130,946,31
2010-11,D2,3,2805,18924917,71210,43,120,820,30
2010-04,D2,4,1563,7078319,59090,12,19,66,30
2010-03,D2,22,1500,1725274,84870,12,19,50,31
2010-11,G3,2,103729,203586706,2361950,36,277,3743,30
2010-03,G3,2,113884,189733933,2535935,26,265,3339,31
2010-05,G3,2,122436,192320813,2737495,32,280,3871,31
2010-06,G3,2,116298,199864519,2469555,30,266,3937,30
2010-07,G3,2,122702,204289442,2668685,28,284,3562,31
2010-08,G3,2,122005,202050219,2619785,28,297,3732,31
2010-09,G3,2,114533,201329839,2584940,30,286,3909,30
2010-07,F1,1,4652,36892100,96885,55,151,884,31
2010-08,F1,1,4626,35058246,94910,59,153,900,31
2010-09,F1,1,4402,35173231,89870,62,175,983,30
2010-10,F1,1,4400,33068175,85866,58,152,889,31
2010-01,F1,2,125099,131813312,2773145,71,223,2569,31
2010-05,F1,2,125551,131211788,2851590,81,275,3207,31
2010-07,F1,2,117349,117105872,2567115,71,244,2944,31
2010-08,F1,2,124164,128986402,2718725,80,280,3015,31
2010-09,F1,2,137253,142010524,2990780,86,317,3418,30
2010-10,F1,2,140792,144411985,2973745,83,292,3081,31
2010-12,F1,2,104211,106448066,2071895,75,250,2377,31
2010-06,D2,1,4635,38697520,146910,53,156,822,30
2010-08,D2,1,4943,38990401,158235,56,156,790,31
2010-10,D2,1,4345,36246756,158059,56,145,739,31
2010-04,D2,1,5057,45759974,170340,56,164,921,30
2010-04,D2,2,98988,152374847,3484710,72,285,2882,30
2010-05,D2,2,107880,142742546,3464425,76,309,3202,31
2010-06,D2,2,98286,135325395,3247720,76,301,2832,30
2010-07,D2,2,97383,123394983,3444475,76,278,2650,31
2010-08,D2,2,97223,131222942,3430620,75,277,2430,31
2010-09,D2,2,94356,128342637,3308525,77,287,2575,30
2010-10,D2,2,95300,139876105,3506810,74,268,2504,31
2010-01,D2,4,1929,8060525,86560,8,19,67,31
2010-02,D2,4,1996,7248828,90905,9,20,83,28
2010-03,D2,4,1591,6973410,51100,12,26,72,31
2010-05,D2,4,1493,6107961,49810,12,20,69,31
2010-06,D2,4,970,3379369,40480,11,18,63,30
2010-07,D2,4,678,2782430,16350,8,12,41,31
2010-08,D2,4,743,3231159,21690,10,15,46,31
2010-09,D2,4,673,3113262,19245,8,14,43,30
2010-10,D2,4,1033,5273070,28800,10,16,63,31
2010-11,D2,4,1047,6108789,28065,13,19,68,30
2010-12,D2,4,1404,8867266,41860,12,20,79,31
2010-01,D2,22,1701,1710914,94845,7,10,32,31
2010-02,D2,22,1389,1543164,80520,10,16,37,28
2010-04,D2,22,823,1079241,56130,10,12,28,30
2010-05,D2,22,781,1035396,55080,9,9,27,31
2010-07,D2,22,776,570622,53205,10,13,41,31
2010-06,D2,22,676,510062,48070,10,13,34,30
2010-08,D2,22,1331,1125553,85045,13,18,54,31
2010-09,D2,22,1678,1391634,99420,12,16,47,30
2010-10,D2,22,1696,1424834,142710,13,18,69,31
2010-11,D2,22,1505,1330563,103170,13,17,41,30
2010-12,D2,22,2626,2238177,131245,12,19,43,31
2010-01,B1,3,1806,13449074,58325,36,100,409,27
2010-05,D2,1,4984,41658230,151195,58,171,954,31
2010-07,D2,1,4705,36099597,150710,54,142,823,31
2010-09,D2,1,4144,34245746,139405,53,144,793,30
2010-09,D2,3,2630,16507387,67975,47,139,869,30
2010-05,D2,3,2917,17873454,68555,51,145,764,30
2010-07,D2,3,2931,17883420,74630,45,130,769,30
2010-10,D2,3,2835,20090837,71295,41,124,880,31
2010-08,D2,3,3143,18696163,81590,48,137,830,31
2010-11,F1,22,2632,1512936,69600,25,43,123,30
2010-06,D2,3,2630,16348769,66220,45,138,743,30
2010-02,D1,2,80674,88001062,1777040,61,239,2435,28
2010-07,D1,2,112618,123382598,2597480,60,280,3106,31
2010-10,D1,2,107909,124643615,2355730,62,254,3129,31
2010-12,D1,2,108012,142766458,2248530,59,261,3010,31
2010-02,F1,2,124213,124938409,2757975,76,254,2699,28
2010-06,F1,2,122412,135672851,2791875,78,270,3170,30
2010-11,F1,2,116487,121802692,2406880,84,276,2700,30
2010-01,F1,1,4479,42260461,90738,54,147,1029,31
2010-04,F1,1,4050,36038659,88275,59,155,856,30
2010-03,F1,1,4262,36548717,92585,62,182,970,31
2010-05,F1,1,4512,36377121,99610,59,155,944,31
2010-11,F1,1,3931,27660649,74985,54,138,813,30
2010-12,F1,1,3823,25763957,68440,49,121,782,31
2010-03,F1,2,131833,140218690,2950485,79,289,3254,31
2010-04,F1,2,118119,124691033,2630960,80,268,2816,30
2010-11,F1,3,1779,10258396,30905,45,110,649,30
2010-12,F1,3,1713,9512111,29200,45,92,511,29
2010-12,F1,22,2160,1196784,54120,28,41,109,31
2010-01,F1,4,3614,16211291,90275,32,52,177,31
2010-03,F1,4,3625,12698859,85845,33,59,204,31
2010-02,F1,4,2885,11005566,72685,28,50,198,28
2010-04,F1,4,3342,13024305,83645,33,62,195,30
2010-05,F1,4,4157,15310311,96990,36,67,242,31
2010-06,F1,4,4077,14491891,96790,30,57,237,30
2010-07,F1,4,4180,17759824,95910,39,65,252,31
2010-08,F1,4,4412,18470963,102750,42,71,298,31
2010-09,F1,4,4219,17348949,94845,39,71,269,30
2010-10,F1,4,2972,15535718,68745,28,59,262,31
2010-11,F1,4,3196,15969003,73050,31,53,204,30
2010-12,F1,4,3073,13541935,64555,26,46,190,31
2010-01,F1,22,4065,2601008,103680,27,43,100,31
2010-03,F1,22,2892,1554968,69480,29,46,128,31
2010-02,F1,22,2889,1599536,74570,26,44,107,28
2010-04,F1,22,2968,1928915,71760,29,49,117,30
2010-05,F1,22,3688,2101498,84450,30,55,174,31
2010-06,F1,22,3612,1858526,87345,29,52,188,30
2010-07,F1,22,3674,1874540,89930,34,57,183,31
2010-08,F1,22,5146,2571985,124525,39,71,236,31
2010-09,F1,22,5775,2591605,137675,36,80,229,30
2010-10,F1,22,2955,1710639,76785,31,61,171,31
2010-04,T4,1,502,3444850,11580,7,23,93,30
2010-03,T4,1,475,5112150,12652,8,22,87,31
2010-05,T4,1,537,3731800,11520,8,25,118,31
2010-06,T4,1,661,4702367,16364,6,26,119,30
2010-07,T4,1,517,2500769,13382,5,21,101,31
2010-08,T4,1,303,2089900,7890,4,18,72,31
2010-02,T4,2,30512,34846285,809265,17,126,892,28
2010-03,T4,2,35613,40756488,907490,19,140,1008,31
2010-04,T4,2,32659,36994636,844550,17,143,933,30
2010-05,T4,2,37410,38946261,940890,18,153,1087,31
2010-06,T4,2,37243,41599860,938645,15,137,1081,30
2010-07,T4,2,37300,36351428,966060,16,139,980,31
2010-08,T4,2,28491,25115861,718545,18,128,795,31
2010-06,F2,2,50760,63894873,1074575,16,102,1255,30
2010-07,F2,2,48806,49739662,967565,17,99,1194,31
2010-08,F2,2,55401,61347087,1132980,17,106,1349,31
