ym,industry,MediaTypeID,count,exp,size,products,brands,nunique.ads,nunique.days
2014-08,T1,10,22618,148754698,1714526,24,2963,3656,31
2014-08,B1,10,35644,114054353,1327918,164,6616,7609,31
2014-03,B1,10,39215,132734819,1526188,165,7293,8501,31
2014-05,B1,10,37683,120434651,1382914,167,7167,8251,31
2014-09,B1,10,35883,116560157,1334598,171,6888,8009,30
2014-08,G3,10,22631,65701408,519310,75,5989,6609,31
2014-06,G3,10,21149,66527200,487430,76,6089,6835,30
2014-05,G3,10,24206,73661894,528897,75,6666,7395,31
2014-02,G3,10,23371,74248683,534758,77,6116,6907,28
2014-12,G3,10,21957,65169722,494764,70,5434,6078,31
2014-04,G3,10,23777,71423347,536836,79,6266,6930,30
2014-03,G3,10,25002,80747653,588814,79,6324,7168,31
2014-07,G3,10,20367,55288849,448047,78,5347,5993,31
2014-06,B1,10,36437,125832077,1358511,167,6715,7719,30
2014-01,B1,10,33564,108894609,1345914,166,5852,6812,31
2014-06,D2,10,14628,50572026,497895,43,2910,3315,30
2014-07,D2,10,13234,41033725,440403,43,2547,2914,31
2014-08,D2,10,13724,41772292,459369,44,2750,3119,31
2014-04,D2,10,14275,45514177,470348,42,2848,3239,30
2014-11,D2,10,14986,47947430,521767,47,2940,3313,30
2014-10,D2,10,16177,52267167,563754,46,3043,3454,31
2014-12,D2,10,12827,41809082,457965,48,2557,2837,31
2014-05,D2,10,15155,53254079,527729,45,2962,3396,31
2014-09,D2,10,15721,49894626,532908,44,3043,3458,30
2014-03,D2,10,14918,49900498,516669,48,3007,3410,31
2014-02,D2,10,13356,42769915,445992,45,2795,3191,28
2014-01,D2,10,13748,42713192,437174,46,2729,3104,31
2014-06,D2,15,24,116699,719,8,16,17,5
2014-05,D2,15,30,160368,901,7,19,19,4
2014-12,D2,9,16,263155,323,5,9,9,12
2014-02,T1,10,21107,133325102,1548473,24,2920,3526,28
2014-11,T1,10,22587,152561420,1719262,23,3146,3718,30
2014-10,T1,10,20545,125071995,1441853,26,2805,3404,31
2014-04,T1,10,19853,124701733,1461241,27,2799,3335,30
2014-06,T1,10,21085,135469333,1564145,25,2902,3528,30
2014-07,T1,10,20592,137351991,1569720,23,2861,3493,31
2014-12,T1,10,21141,143450047,1612001,21,2826,3304,31
2014-05,T1,10,23412,152984027,1803067,25,3091,3759,31
2014-01,T1,10,19733,125917220,1434666,23,2767,3317,31
2014-09,T1,10,20431,126494775,1476718,24,2844,3464,30
