ym,industry,MediaTypeID,count,exp,products,brands,nunique.ads,nunique.days
2012-01,T1,11,4691,10781815,32,3330,3849,1
2012-02,T1,11,4778,10904220,32,3369,3898,1
2012-03,T1,11,4967,11768995,30,3470,4051,1
2012-04,T1,11,4951,11413428,30,3503,4078,1
2012-05,T1,11,5040,12298067,29,3512,4073,1
2012-06,T1,11,5146,12464912,30,3557,4148,1
2012-07,T1,11,5231,13067576,31,3594,4190,1
2012-08,T1,11,5343,13226724,32,3575,4164,1
2012-09,T1,11,5319,12567058,33,3565,4153,1
2012-10,T1,11,5256,14056165,33,3559,4183,1
2012-11,T1,11,5352,13821870,32,3569,4212,1
2012-12,T1,11,5399,13884824,33,3629,4270,1
2012-01,B1,11,20100,58214209,174,11326,14823,1
2012-04,B1,11,22824,65471348,179,13044,16838,1
2012-03,B1,11,21841,62912845,178,12435,16091,1
2012-05,B1,11,22214,63073516,182,12763,16385,1
2012-02,B1,11,20662,58955831,176,11651,15166,1
2012-07,B1,11,22574,65045430,175,12836,16480,1
2012-08,B1,11,22656,64366642,173,12784,16577,1
2012-09,B1,11,23329,67147443,181,13116,17106,1
2012-10,B1,11,24175,73695855,179,13642,17679,1
2012-11,B1,11,22397,65110007,171,12546,16346,1
2012-12,B1,11,21258,61212800,170,11987,15597,1
2012-06,B1,11,22027,62818898,175,12638,16220,1
2012-01,G3,11,11764,31091631,67,4818,7862,1
2012-03,G3,11,12380,33350209,69,5065,8060,1
2012-04,G3,11,12503,33712630,67,5143,8249,1
2012-02,G3,11,11869,30737705,69,4895,7915,1
2012-01,D2,11,7620,20560238,45,4809,5868,1
2012-02,D2,11,7583,19650433,47,4802,5818,1
2012-03,D2,11,7858,20449565,44,4921,6021,1
2012-05,D2,11,7801,20458275,42,4908,5970,1
2012-04,D2,11,7895,21261768,43,4943,6046,1
2012-06,D2,11,7729,19813065,43,4884,5957,1
2012-08,D2,11,7965,20821552,43,5010,6106,1
2012-09,D2,11,8225,21657327,44,5138,6273,1
2012-07,D2,11,7921,21172411,43,4980,6078,1
2012-11,D2,11,8365,21726279,46,5224,6402,1
2012-10,D2,11,8338,23275064,43,5143,6319,1
2012-12,D2,11,8448,21753587,46,5285,6467,1
2012-06,T4,11,9505,23255520,27,3088,6826,1
2012-07,T4,11,9420,23031591,27,3046,6774,1
2012-08,T4,11,9273,21411604,27,3011,6677,1
2012-09,T4,11,9148,21218212,27,2987,6629,1
2012-04,B5,11,507,1130404,10,358,435,1
2012-03,B5,11,483,953640,10,352,415,1
2012-05,B5,11,491,1022368,11,353,420,1
2012-02,B5,11,457,801413,10,336,398,1
2012-06,B5,11,492,998243,11,348,424,1
2012-07,B5,11,483,1006843,10,347,422,1
2012-08,B5,11,497,1005550,12,350,429,1
2012-09,B5,11,509,1069104,12,352,427,1
2012-10,B5,11,489,1051327,12,341,417,1
2012-11,B5,11,492,1029921,11,343,416,1
2012-12,B5,11,486,994887,11,348,418,1
2012-01,G7,11,12742,23868521,175,8404,10409,1
2012-03,G7,11,13514,26328733,179,8725,10879,1
2012-04,G7,11,14111,28105341,182,9073,11315,1
2012-05,G7,11,14027,28915554,175,9056,11247,1
2012-06,G7,11,14186,29427882,173,9024,11240,1
2012-07,G7,11,14069,29068863,176,8925,11161,1
2012-08,G7,11,13942,28730679,177,8856,11102,1
2012-09,G7,11,14071,28210522,175,8934,11218,1
2012-10,G7,11,14800,32670070,179,9232,11652,1
2012-11,G7,11,15658,35613463,177,9749,12328,1
2012-12,G7,11,15429,34250520,183,9736,12295,1
2012-02,G7,11,12671,22407134,174,8398,10398,1
2012-05,F1,11,413,2929674,48,202,274,1
2012-06,F1,11,447,3557814,49,212,296,1
2012-07,F1,11,502,3655049,54,217,312,1
2012-08,F1,11,466,3177925,53,216,306,1
2012-09,F1,11,422,2057519,51,208,283,1
2012-10,F1,11,395,2116124,47,197,260,1
2012-11,F1,11,376,1982679,47,197,255,1
2012-03,F1,11,342,1819428,53,194,249,1
2012-02,F1,11,314,1630653,44,169,228,1
2012-04,F1,11,358,1963555,47,191,250,1
2012-01,T4,11,9271,22271167,29,2887,6672,1
2012-02,T4,11,9171,20778910,29,2906,6660,1
2012-03,T4,11,9224,21433737,29,2904,6679,1
2012-04,T4,11,9425,22724123,30,2972,6725,1
2012-05,T4,11,9368,23288854,29,3015,6650,1
2012-10,T4,11,9142,22228309,28,2950,6606,1
2012-11,T4,11,9133,21430804,27,2922,6626,1
2012-12,T4,11,9256,21762786,29,2970,6706,1
2012-06,F2,11,425,3005849,11,71,167,1
2012-07,F2,11,446,3385288,11,72,179,1
2012-09,B3,11,270,2483248,13,146,165,1
2012-11,B3,11,340,4097946,12,141,177,1
2012-09,F3,11,1253,8854376,16,202,372,1
2012-01,B4,11,1109,6460059,31,549,742,1
2012-03,B4,11,1205,7457508,33,610,806,1
2012-02,B4,11,1173,7178962,32,599,784,1
2012-04,B4,11,1310,7874401,32,664,871,1
2012-05,B4,11,1237,7591498,30,648,834,1
2012-06,B4,11,1114,6854378,29,564,731,1
2012-07,B4,11,1160,7466840,30,536,689,1
2012-08,B4,11,1321,9486295,32,586,799,1
2012-09,B4,11,1518,11551627,30,714,951,1
2012-10,B4,11,1485,10418099,30,729,963,1
2012-11,B4,11,1362,8228123,30,672,883,1
2012-12,B4,11,1144,6508221,29,572,751,1
2012-01,B2,11,4873,7999319,15,2260,3925,1
2012-02,B2,11,4953,8270943,14,2302,4003,1
2012-03,B2,11,5214,10010970,14,2329,4143,1
2012-04,B2,11,5452,11962107,15,2371,4208,1
2012-05,B2,11,5480,11570860,15,2337,4205,1
2012-06,B2,11,5517,11051139,15,2339,4237,1
2012-07,B2,11,5389,10355413,16,2335,4170,1
2012-08,B2,11,5330,9945165,16,2295,4127,1
2012-09,B2,11,5411,10985114,15,2322,4189,1
2012-10,B2,11,5489,13266016,16,2339,4205,1
2012-11,B2,11,5293,11355369,18,2302,4120,1
2012-12,B2,11,5020,8588360,15,2293,4030,1
2012-01,H3,11,68,340341,7,35,57,1
2012-03,H3,11,95,783692,6,37,59,1
2012-04,H3,11,89,767019,7,42,65,1
2012-05,H3,11,65,418293,6,36,53,1
2012-02,H3,11,60,311036,6,34,48,1
2012-06,H3,11,115,967298,8,55,78,1
2012-07,H3,11,107,964988,9,53,81,1
2012-08,H3,11,102,905178,7,48,75,1
2012-09,H3,11,109,749246,7,43,63,1
2012-10,H3,11,95,583141,7,47,70,1
2012-11,H3,11,90,748911,8,48,68,1
2012-12,H3,11,99,871185,9,50,72,1
2012-01,B3,11,255,2029539,11,137,160,1
2012-03,B3,11,262,2376763,12,140,166,1
2012-04,B3,11,266,2343144,12,137,165,1
2012-05,B3,11,260,2139221,11,139,159,1
2012-06,B3,11,259,2036903,11,149,168,1
2012-02,B3,11,260,2275528,14,143,169,1
2012-07,B3,11,252,2048429,14,136,158,1
2012-08,B3,11,252,2374570,13,137,157,1
2012-10,B3,11,283,2519090,13,142,166,1
2012-12,B3,11,371,3989608,11,148,202,1
2012-06,T3,11,51,159005,3,28,39,1
2012-10,F3,11,1178,8516060,16,206,376,1
2012-11,F3,11,1197,9190924,16,225,405,1
2012-06,G3,11,13465,42290539,68,5347,8634,1
2012-09,G3,11,12969,33234976,67,5379,8571,1
2012-07,G3,11,13840,45694546,67,5447,8816,1
2012-11,G3,11,12857,33683180,66,5284,8547,1
2012-12,G3,11,12746,32752034,66,5261,8568,1
2012-05,G3,11,12780,35935155,65,5196,8276,1
2012-08,G3,11,12923,34120653,68,5326,8471,1
2012-10,G3,11,13223,35852757,67,5360,8631,1
2012-04,G1,11,6,10912,3,4,6,1
2012-09,G1,11,8,49627,5,6,8,1
2012-01,F1,11,295,1696500,39,158,210,1
2012-12,F1,11,348,1516746,49,199,252,1
2012-01,A1,11,191,791413,14,108,137,1
2012-03,A1,11,234,1692048,13,113,150,1
2012-02,A1,11,145,745746,12,93,112,1
2012-04,A1,11,241,1324816,15,129,178,1
2012-09,A1,11,234,1251232,15,112,154,1
2012-10,A1,11,255,1279535,18,121,162,1
2012-08,A1,11,251,1201462,14,119,152,1
2012-11,A1,11,301,1896490,17,122,170,1
2012-12,A1,11,265,1646764,16,121,171,1
2012-01,G2,11,149,609233,7,61,98,1
2012-02,G2,11,124,606264,7,44,73,1
2012-03,G2,11,98,513430,7,45,69,1
2012-04,G2,11,126,798150,7,50,86,1
2012-05,G2,11,158,838514,9,55,86,1
2012-06,G2,11,143,733594,10,57,88,1
2012-07,G2,11,107,508028,9,59,82,1
2012-09,G2,11,112,601092,8,56,81,1
2012-10,G2,11,116,582803,6,56,85,1
2012-08,G2,11,92,474623,8,52,74,1
2012-11,G2,11,224,1613304,8,74,125,1
2012-12,G2,11,239,1640211,8,84,136,1
2012-04,D1,11,77,499694,11,33,40,1
2012-09,D1,11,54,439423,11,31,36,1
2012-10,D1,11,58,396107,10,29,36,1
2012-11,D1,11,50,527634,10,33,39,1
2012-12,D1,11,48,499650,12,33,39,1
2012-01,F3,11,639,4386772,16,159,270,1
2012-02,F3,11,620,4171695,16,145,246,1
2012-03,F3,11,837,6006117,18,168,290,1
2012-12,F3,11,1055,8101332,16,205,382,1
2012-03,F2,11,251,1510618,11,51,115,1
2012-04,F2,11,357,2463230,10,57,149,1
2012-05,A1,11,180,934382,14,107,139,1
2012-06,A1,11,173,782259,13,101,132,1
2012-07,A1,11,187,980801,12,110,141,1
2012-04,F3,11,1179,8598041,17,186,351,1
2012-05,F3,11,1528,11199504,16,196,389,1
2012-06,F3,11,1558,12125742,16,217,416,1
2012-07,F3,11,1444,11248817,16,221,416,1
2012-08,F3,11,1423,10201324,16,216,402,1
2012-02,H1,11,36,84763,11,29,34,1
2012-03,H1,11,40,115136,13,31,37,1
2012-05,H1,11,45,136393,13,30,39,1
2012-07,H1,11,30,121692,9,25,27,1
2012-08,H1,11,29,82029,9,25,27,1
2012-06,H1,11,36,94232,11,27,32,1
2012-09,H1,11,40,86829,12,32,35,1
2012-11,H1,11,38,78673,11,32,35,1
2012-12,H1,11,37,69541,11,30,34,1
2012-10,H1,11,34,90314,12,28,31,1
2012-04,H1,11,48,155142,12,32,41,1
2012-01,B7,11,54,145571,2,37,41,1
2012-02,B7,11,51,94485,3,35,39,1
2012-03,B7,11,75,231000,3,37,42,1
2012-05,B7,11,80,241266,2,44,49,1
2012-06,B7,11,79,247447,2,42,47,1
2012-08,B7,11,76,202182,2,41,46,1
2012-10,B7,11,103,308433,2,55,62,1
2012-04,B7,11,80,167585,3,44,51,1
2012-11,B7,11,68,193422,2,47,51,1
2012-07,B7,11,72,173103,2,42,47,1
2012-12,B7,11,60,177813,2,44,48,1
2012-09,B7,11,97,289382,2,46,53,1
2012-01,B5,11,465,862783,10,338,406,1
2012-01,T6,11,471,571253,21,250,315,1
2012-03,T6,11,535,937661,25,343,407,1
2012-04,T6,11,591,1026349,24,394,466,1
2012-05,T6,11,561,1031446,24,382,445,1
2012-02,T6,11,447,583234,24,277,328,1
2012-06,T6,11,498,619798,24,336,399,1
2012-07,T6,11,459,490686,26,325,376,1
2012-08,T6,11,474,510197,26,318,371,1
2012-09,T6,11,629,802644,23,372,443,1
2012-10,T6,11,608,972733,24,344,415,1
2012-11,T6,11,629,885790,24,321,396,1
2012-12,T6,11,606,643147,24,306,380,1
