ym,industry,MediaTypeID,count,exp,products,brands,nunique.ads,nunique.days
2014-02,T1,17,670028,34080248,35,2792,3066,4
2014-01,T1,17,596144,30177948,31,2527,2787,4
2014-03,T1,17,882371,42590048,35,3132,3449,5
2014-04,T1,17,737732,37542272,36,3024,3308,4
2014-05,T1,17,811342,43639806,34,3305,3666,4
2014-06,T1,17,993675,52593921,34,3404,3764,5
2014-07,T1,17,827286,42351999,35,3183,3480,4
2014-08,T1,17,876716,47213434,35,3278,3591,4
2014-09,T1,17,888177,44688982,35,3396,3754,5
2014-10,T1,17,774598,41984605,37,3393,3727,4
2014-11,T1,17,755562,42808979,36,3350,3749,4
2014-12,T1,17,974068,54213629,35,3432,3828,5
2014-12,B1,17,2742986,114079866,203,9711,10987,5
2014-01,G3,17,778181,29263650,72,4618,4892,4
2014-02,G3,17,795674,29598735,76,5063,5377,4
2014-03,G3,17,1163405,44434129,80,6200,6651,5
2014-04,G3,17,900503,36160443,78,5647,6054,4
2014-05,G3,17,857197,35599820,78,5418,5787,4
2014-08,G3,17,986104,38090580,75,5512,5892,4
2014-09,G3,17,1239439,46764348,75,6587,7080,5
2014-10,G3,17,968245,39022603,72,6429,6942,4
2014-11,G3,17,856694,34178194,76,6080,6519,4
2014-12,G3,17,1019236,39381557,74,6206,6698,5
2014-06,G3,17,1247915,51123593,79,6089,6564,5
2014-07,G3,17,994546,40188428,77,5358,5731,4
2014-02,B1,17,2155198,96754372,190,8679,9673,4
2014-06,B1,17,2662413,121823452,191,9752,10946,5
2014-10,D2,17,450318,22727414,61,2846,3131,4
2014-07,D2,17,424099,19656496,64,2430,2642,4
2014-08,D2,17,408617,18670073,61,2493,2706,4
2014-02,D2,17,594340,23968943,60,2640,2859,4
2014-01,D2,17,590585,24056955,59,2584,2785,4
2014-03,D2,17,657713,27595205,63,2896,3155,5
2014-09,D2,17,544797,25376220,60,2917,3203,5
2014-11,D2,17,430063,20659950,66,2856,3162,4
2014-12,D2,17,524469,23746223,65,2848,3129,5
2014-04,D2,17,483001,21636046,62,2617,2853,4
2014-05,D2,17,444571,21263623,63,2620,2845,4
2014-06,D2,17,538430,25416394,66,2657,2883,5
2014-01,B1,17,2078632,91537425,188,8154,9006,4
2014-03,B1,17,2752142,125280312,191,10016,11275,5
2014-04,B1,17,2215059,102742327,196,9471,10620,4
2014-05,B1,17,2173892,100602389,192,9279,10370,4
2014-07,B1,17,2242212,97601159,194,8909,9948,4
2014-08,B1,17,2324283,102546906,197,9453,10551,4
2014-09,B1,17,2825479,124721631,197,10550,11991,5
2014-10,B1,17,2355722,112097680,196,10670,12337,4
2014-11,B1,17,2207505,96908162,202,10512,12038,4
2014-10,G7,17,1643613,73697681,190,5020,5338,4
2014-11,G7,17,1923806,85312771,195,5831,6226,4
2014-04,G5,17,5662,247097,7,28,29,4
2014-05,G5,17,7008,277320,7,25,27,4
2014-02,F1,17,72475,3278669,53,224,230,4
2014-01,F1,17,93135,4243620,55,227,231,4
2014-03,F1,17,93881,4713142,59,272,282,5
2014-04,F1,17,67686,4150938,65,262,269,4
2014-05,F1,17,148355,9557788,63,276,283,4
2014-06,F1,17,146524,8430497,62,290,302,5
2014-07,F1,17,84664,4237131,65,267,278,4
2014-08,F1,17,96941,4820776,60,301,313,4
2014-09,F1,17,151301,8934906,67,340,354,5
2014-10,F1,17,52506,3004697,70,311,322,4
2014-11,F1,17,69566,3930880,75,323,331,4
2014-12,F1,17,84128,4497364,73,337,349,5
2014-01,G7,17,1269024,52605140,180,3838,4025,4
2014-02,G7,17,1397555,58423570,178,4342,4553,4
2014-04,G7,17,1606602,71124756,186,4768,5061,4
2014-05,G7,17,1711861,75398015,185,4778,5065,4
2014-06,G7,17,2092277,91390519,189,4910,5242,5
2014-07,G7,17,1425939,60532561,179,4161,4398,4
2014-08,G7,17,1564571,68769748,178,4546,4809,4
2014-09,G7,17,1897443,83241952,190,4977,5294,5
2014-12,G7,17,2362691,103640134,201,6346,6755,5
2014-01,T4,17,163134,9382326,28,886,989,4
2014-02,T4,17,162270,9360610,29,936,1041,4
2014-03,T4,17,217951,12275463,31,1088,1229,5
2014-04,T4,17,166431,8794861,31,1001,1112,4
2014-05,T4,17,206712,11147948,29,1081,1191,4
2014-06,T4,17,284268,14585564,31,1173,1318,5
2014-07,T4,17,228046,10895608,30,1051,1171,4
2014-08,T4,17,183865,8337736,34,1098,1236,4
2014-09,T4,17,225884,10560324,32,1135,1276,5
2014-10,T4,17,161715,8218878,30,1044,1181,4
2014-11,T4,17,136013,6471589,29,1070,1214,4
2014-12,T4,17,156491,7581093,33,1163,1347,5
2014-01,B4,17,326498,13495248,29,527,571,4
2014-02,B4,17,430036,16737412,33,596,679,4
2014-03,B4,17,373489,14266084,36,598,641,5
2014-04,B4,17,370449,14466093,32,685,770,4
2014-05,B4,17,402795,17448147,31,664,756,4
2014-06,B4,17,363845,13201214,33,569,614,5
2014-07,B4,17,260121,8657468,31,478,514,4
2014-08,B4,17,209790,6897585,31,486,525,4
2014-09,B4,17,470725,20825362,32,702,773,5
2014-10,B4,17,255607,11938833,33,685,767,4
2014-11,B4,17,436919,20148941,33,757,889,4
2014-12,B4,17,300045,9780437,35,626,691,5
2014-01,B2,17,412754,15992702,19,717,868,4
2014-02,B2,17,414133,16384176,19,781,973,4
2014-03,B2,17,536047,23159374,21,889,1134,5
2014-04,B2,17,352069,15095140,19,791,1007,4
2014-05,B2,17,357222,15956311,18,735,914,4
2014-06,B2,17,461919,20706735,18,737,937,5
2014-07,B2,17,419591,17565441,19,741,924,4
2014-08,B2,17,386206,16557148,19,767,966,4
2014-09,B2,17,506798,23181935,19,901,1134,5
2014-10,B2,17,399769,19737191,20,862,1103,4
2014-11,B2,17,384350,18649120,21,896,1120,4
2014-12,B2,17,442097,20899960,20,833,1054,5
2014-06,H5,17,83116,3197735,49,214,233,5
2014-07,H5,17,56530,2073237,46,199,215,4
2014-08,H5,17,39961,1700624,51,212,228,4
2014-09,H5,17,50638,2072547,51,226,241,5
2014-10,H5,17,54654,2553435,46,217,233,4
2014-11,H5,17,44221,1967584,46,213,228,4
2014-12,H5,17,40274,1693289,46,198,213,5
2014-01,H3,17,13762,579895,15,126,130,4
2014-02,H3,17,11937,527829,13,142,146,4
2014-03,H3,17,17457,687150,11,162,170,5
2014-11,H3,17,25130,1055623,14,199,214,4
2014-05,F3,17,54307,2282722,15,173,186,4
2014-06,F3,17,89757,3944177,16,208,232,5
2014-11,F3,17,68127,2647959,16,206,224,4
2014-12,F3,17,80291,3195128,17,225,250,5
2014-12,D1,17,73336,3739020,35,109,110,5
2014-01,H5,17,41143,1413835,41,149,158,4
2014-02,H5,17,46706,1571026,43,163,172,4
2014-03,H5,17,84301,2800035,44,197,209,5
2014-04,H5,17,58977,2176491,46,200,211,4
2014-05,H5,17,68779,2774924,48,199,219,4
2014-04,B3,17,99905,3478965,15,110,114,4
2014-01,T3,17,60,4911,2,4,4,4
2014-02,T3,17,50,3955,2,4,4,4
2014-03,T3,17,37,2136,2,3,3,5
2014-04,T3,17,42,3374,2,2,2,4
2014-05,T3,17,133,4997,2,2,2,4
2014-06,T3,17,48,3207,2,2,3,5
2014-07,T3,17,55,4480,2,3,3,4
2014-08,T3,17,35,2114,2,2,2,4
2014-09,T3,17,27,1144,1,1,1,5
2014-10,T3,17,20,919,1,1,1,4
2014-11,T3,17,26,2246,1,1,1,4
2014-12,T3,17,25,942,2,3,3,5
2014-02,F3,17,29976,708831,16,126,131,4
2014-01,F2,17,18504,763548,14,62,67,4
2014-08,F2,17,61510,3259719,17,87,93,4
2014-09,F2,17,64057,3263030,16,93,99,5
2014-10,F2,17,33532,1666076,16,86,91,4
2014-11,F2,17,44561,1717348,15,90,96,4
2014-12,F2,17,66950,2809342,14,99,105,5
2014-03,F2,17,71668,3324426,16,74,79,5
2014-04,F2,17,63381,3642131,16,76,82,4
2014-06,F2,17,92766,5410101,17,77,83,5
2014-07,F2,17,71416,3736731,16,80,86,4
2014-01,D1,17,73128,3601790,32,74,75,4
2014-01,G1,17,419,7485,4,12,12,4
2014-05,B3,17,62258,2090360,13,105,108,4
2014-06,B3,17,69112,2587393,15,108,110,5
2014-08,B3,17,59398,2411270,16,109,112,4
2014-09,B3,17,61373,2516996,16,128,131,5
2014-10,B3,17,46590,1948872,11,130,132,4
2014-11,B3,17,57090,2339674,13,128,130,4
2014-12,B3,17,83689,3565902,14,143,148,5
2014-03,A1,17,3249,145291,10,39,40,5
2014-05,G2,17,6793,274474,12,32,33,4
2014-06,G2,17,9277,404549,14,31,32,5
2014-10,G2,17,5568,211562,14,41,41,4
2014-03,F3,17,39302,1003630,17,145,154,5
2014-04,F3,17,42436,1789798,14,161,172,4
2014-07,F3,17,60048,2263049,16,179,197,4
2014-08,F3,17,64074,2511356,18,188,206,4
2014-10,F3,17,60140,2460369,16,184,204,4
2014-01,F3,17,27841,589949,17,121,127,4
2014-02,G2,17,9710,359923,10,29,29,4
2014-01,G2,17,6213,254064,9,22,22,4
2014-07,G2,17,8425,311821,13,26,26,4
2014-08,G2,17,6343,242757,11,29,29,4
2014-09,G2,17,5131,319819,12,36,36,5
2014-11,G2,17,13059,497120,12,43,43,4
2014-12,G2,17,6231,303744,12,44,45,5
2014-01,G4,17,16513,699803,27,172,177,4
2014-02,G4,17,20580,711846,29,187,192,4
2014-03,G4,17,25600,1146514,31,226,231,5
2014-04,G4,17,24698,747515,34,220,229,4
2014-05,G4,17,20034,718862,34,221,230,4
2014-06,G4,17,24352,846890,36,239,246,5
