ym,industry,MediaTypeID,count,exp,seconds,products,brands,nunique.ads,nunique.days
2015-01,B1,5,2314494,436945102,67956840,183,10790,88482,31
2014-12,B1,5,231764,39902551,6792780,165,5581,35491,3
2015-02,B1,5,2025150,380671824,58502760,183,10931,86871,28
2015-03,B1,5,2271579,412705033,65494700,188,11991,93502,31
2015-04,B1,5,2269856,396701790,65676270,189,12185,92298,30
2015-05,B1,5,2223996,394560408,64769130,192,12178,94357,31
2015-06,B1,5,2198120,376970024,63176265,196,11847,93067,30
2015-07,B1,5,2288675,391676755,66758490,190,11433,89714,31
2015-08,B1,5,2355201,404574460,68335550,192,11979,94000,31
2015-09,B1,5,2257778,396322646,64961315,191,12488,95902,30
2015-10,B1,5,2327758,474687985,67550487,190,12705,97770,31
2015-11,B1,5,2069704,407092333,60086355,192,12199,91883,30
2015-12,B1,5,1815893,338586554,52305260,185,10814,80444,27
2015-01,T1,5,1170701,350538178,31836135,35,5818,29912,31
2014-12,T1,5,204903,59790647,5432905,29,4122,13980,3
2015-02,T1,5,1242221,381908976,33788500,36,5941,30778,28
2015-03,T1,5,1428388,423679038,38730730,39,6593,34652,31
2015-04,T1,5,1264977,369303079,34743990,37,6331,29823,30
2015-05,T1,5,1434222,414338851,38727135,42,6524,35064,31
2015-06,T1,5,1333351,388873346,36332050,42,6465,33771,30
2015-07,T1,5,1518953,427893354,41179445,38,6387,34271,31
2015-08,T1,5,1556210,439309466,42001495,38,6474,33947,31
2015-09,T1,5,1368774,399712123,37588565,40,6510,35247,30
2015-10,T1,5,1270467,410697417,34750250,46,6361,32164,31
2015-11,T1,5,1213068,396074768,32969370,43,6362,32082,30
2015-12,T1,5,1230232,401127368,33181465,45,6163,26123,27
2015-11,G3,5,691307,175771994,15801290,73,5257,20723,30
2015-12,G3,5,669141,164441119,14971020,73,4655,17623,27
2015-01,G3,5,767431,189788461,17816290,75,4669,21150,31
2015-02,G3,5,755637,172070929,17329220,75,4919,21335,28
2015-04,G3,5,872091,197341630,20044295,75,5392,21376,30
2015-05,G3,5,739950,154989664,17048575,76,5420,21410,31
2015-06,G3,5,893844,196514515,20480480,73,5478,22700,30
2015-07,G3,5,880800,178785933,20114520,75,5361,23046,31
2015-08,G3,5,802870,162158505,18375410,74,5612,22877,31
2015-03,G3,5,776356,174884123,17710360,76,5347,22139,31
2015-09,G3,5,884004,192502870,20431105,73,5963,23492,30
2015-10,G3,5,767937,183385339,17325260,76,5625,22462,31
2014-12,D2,5,42477,9113041,1268665,74,2079,6902,3
2015-01,D2,5,478653,111682139,14616445,100,4574,21502,31
2015-02,D2,5,435041,102424069,13455425,96,4780,21974,28
2015-03,D2,5,464235,106741970,14368955,98,4979,23267,31
2015-04,D2,5,454384,108727919,14448055,98,4865,22088,30
2015-05,D2,5,459039,107669512,14539800,99,4937,23376,31
2015-06,D2,5,458551,103329087,14639215,96,4777,22567,30
2015-07,D2,5,404721,83652437,13017835,97,4500,20873,31
2015-08,D2,5,421569,86562354,13273200,98,4669,21977,31
2015-09,D2,5,450691,99968108,14014800,100,5022,23205,30
2014-12,H2,5,2547,533580,41100,22,47,397,3
2015-03,H2,5,20198,3250726,452150,42,102,1162,31
2015-04,H2,5,24651,4041401,553845,44,119,1226,30
2015-05,H2,5,38278,5769235,873130,46,116,1610,31
2015-06,H2,5,28765,5130833,650560,43,115,1300,30
