industry,IndustryName,MediaTypeID,MediaType,ym,exp,y
A1,"apparel,footwear, & accessories",1,Network TV,2010,1437930,2010
A1,"apparel,footwear, & accessories",1,Network TV,2010.08333333333,993550,2010
A1,"apparel,footwear, & accessories",1,Network TV,2010.16666666667,3144995,2010
A1,"apparel,footwear, & accessories",1,Network TV,2010.25,3411559,2010
A1,"apparel,footwear, & accessories",1,Network TV,2010.33333333333,2642736,2010
A1,"apparel,footwear, & accessories",1,Network TV,2010.41666666667,1911445,2010
A1,"apparel,footwear, & accessories",1,Network TV,2010.5,2555903,2010
A1,"apparel,footwear, & accessories",1,Network TV,2010.58333333333,3872424,2010
A1,"apparel,footwear, & accessories",1,Network TV,2010.66666666667,2233776,2010
A1,"apparel,footwear, & accessories",1,Network TV,2010.75,3586983,2010
A1,"apparel,footwear, & accessories",1,Network TV,2010.83333333333,2400615,2010
A1,"apparel,footwear, & accessories",1,Network TV,2010.91666666667,3569278,2010
A1,"apparel,footwear, & accessories",1,Network TV,2011,2129725,2011
A1,"apparel,footwear, & accessories",1,Network TV,2011.08333333333,1151310,2011
A1,"apparel,footwear, & accessories",1,Network TV,2011.16666666667,2317172,2011
A1,"apparel,footwear, & accessories",1,Network TV,2011.25,3072591,2011
A1,"apparel,footwear, & accessories",1,Network TV,2011.33333333333,2117767,2011
A1,"apparel,footwear, & accessories",1,Network TV,2011.41666666667,1652374,2011
A1,"apparel,footwear, & accessories",1,Network TV,2011.5,1585914,2011
A1,"apparel,footwear, & accessories",1,Network TV,2011.58333333333,2855323,2011
A1,"apparel,footwear, & accessories",1,Network TV,2011.66666666667,2424836,2011
A1,"apparel,footwear, & accessories",1,Network TV,2011.75,1980760,2011
A1,"apparel,footwear, & accessories",1,Network TV,2011.83333333333,2040284,2011
A1,"apparel,footwear, & accessories",1,Network TV,2011.91666666667,2384554,2011
A1,"apparel,footwear, & accessories",1,Network TV,2012,1163090,2012
A1,"apparel,footwear, & accessories",1,Network TV,2012.08333333333,1286742,2012
A1,"apparel,footwear, & accessories",1,Network TV,2012.16666666667,1232650,2012
A1,"apparel,footwear, & accessories",1,Network TV,2012.25,2338250,2012
A1,"apparel,footwear, & accessories",1,Network TV,2012.33333333333,1917900,2012
A1,"apparel,footwear, & accessories",1,Network TV,2012.41666666667,1371550,2012
A1,"apparel,footwear, & accessories",1,Network TV,2012.5,1247350,2012
A1,"apparel,footwear, & accessories",1,Network TV,2012.58333333333,2044150,2012
A1,"apparel,footwear, & accessories",1,Network TV,2012.66666666667,2453281,2012
A1,"apparel,footwear, & accessories",1,Network TV,2012.75,2020867,2012
A1,"apparel,footwear, & accessories",1,Network TV,2012.83333333333,2274321,2012
A1,"apparel,footwear, & accessories",1,Network TV,2012.91666666667,2022453,2012
A1,"apparel,footwear, & accessories",1,Network TV,2013,1468686,2013
A1,"apparel,footwear, & accessories",1,Network TV,2013.08333333333,1199779,2013
A1,"apparel,footwear, & accessories",1,Network TV,2013.16666666667,3272537,2013
A1,"apparel,footwear, & accessories",1,Network TV,2013.25,1693379,2013
A1,"apparel,footwear, & accessories",1,Network TV,2013.33333333333,1734176,2013
A1,"apparel,footwear, & accessories",1,Network TV,2013.41666666667,1961371,2013
A1,"apparel,footwear, & accessories",1,Network TV,2013.5,3553295,2013
A1,"apparel,footwear, & accessories",1,Network TV,2013.58333333333,3088767,2013
A1,"apparel,footwear, & accessories",1,Network TV,2013.66666666667,2874565,2013
A1,"apparel,footwear, & accessories",1,Network TV,2013.75,2007726,2013
A1,"apparel,footwear, & accessories",1,Network TV,2013.83333333333,2431878,2013
A1,"apparel,footwear, & accessories",1,Network TV,2013.91666666667,3424193,2013
A1,"apparel,footwear, & accessories",1,Network TV,2014,1124821,2014
A1,"apparel,footwear, & accessories",1,Network TV,2014.08333333333,1384656,2014
A1,"apparel,footwear, & accessories",1,Network TV,2014.16666666667,2057550,2014
A1,"apparel,footwear, & accessories",1,Network TV,2014.25,2999325,2014
A1,"apparel,footwear, & accessories",1,Network TV,2014.33333333333,1851879,2014
A1,"apparel,footwear, & accessories",1,Network TV,2014.41666666667,1659500,2014
A1,"apparel,footwear, & accessories",1,Network TV,2014.5,1841850,2014
A1,"apparel,footwear, & accessories",1,Network TV,2014.58333333333,2084450,2014
A1,"apparel,footwear, & accessories",1,Network TV,2014.66666666667,2425250,2014
A1,"apparel,footwear, & accessories",1,Network TV,2014.75,1169200,2014
A1,"apparel,footwear, & accessories",1,Network TV,2014.83333333333,1647479,2014
A1,"apparel,footwear, & accessories",1,Network TV,2014.91666666667,2300650,2014
A1,"apparel,footwear, & accessories",1,Network TV,2015,1320450,2015
A1,"apparel,footwear, & accessories",1,Network TV,2015.08333333333,874200,2015
A1,"apparel,footwear, & accessories",1,Network TV,2015.16666666667,2675800,2015
A1,"apparel,footwear, & accessories",1,Network TV,2015.25,3270100,2015
A1,"apparel,footwear, & accessories",1,Network TV,2015.33333333333,2584000,2015
A1,"apparel,footwear, & accessories",1,Network TV,2015.41666666667,2902250,2015
A1,"apparel,footwear, & accessories",1,Network TV,2015.5,1934450,2015
A1,"apparel,footwear, & accessories",1,Network TV,2015.58333333333,2685285,2015
A1,"apparel,footwear, & accessories",1,Network TV,2015.66666666667,2393900,2015
A1,"apparel,footwear, & accessories",1,Network TV,2015.75,1962833,2015
A1,"apparel,footwear, & accessories",1,Network TV,2015.83333333333,2186082,2015
A1,"apparel,footwear, & accessories",1,Network TV,2015.91666666667,1356783,2015
A1,"apparel,footwear, & accessories",2,Cable TV,2010,2833423,2010
A1,"apparel,footwear, & accessories",2,Cable TV,2010.08333333333,4253350,2010
A1,"apparel,footwear, & accessories",2,Cable TV,2010.16666666667,14836537,2010
A1,"apparel,footwear, & accessories",2,Cable TV,2010.25,20943842,2010
A1,"apparel,footwear, & accessories",2,Cable TV,2010.33333333333,14357611,2010
A1,"apparel,footwear, & accessories",2,Cable TV,2010.41666666667,15199031,2010
A1,"apparel,footwear, & accessories",2,Cable TV,2010.5,9959934,2010
A1,"apparel,footwear, & accessories",2,Cable TV,2010.58333333333,31375408,2010
A1,"apparel,footwear, & accessories",2,Cable TV,2010.66666666667,21304381,2010
A1,"apparel,footwear, & accessories",2,Cable TV,2010.75,27108460,2010
A1,"apparel,footwear, & accessories",2,Cable TV,2010.83333333333,29322683,2010
A1,"apparel,footwear, & accessories",2,Cable TV,2010.91666666667,29996661,2010
A1,"apparel,footwear, & accessories",2,Cable TV,2011,4601683,2011
A1,"apparel,footwear, & accessories",2,Cable TV,2011.08333333333,7760107,2011
A1,"apparel,footwear, & accessories",2,Cable TV,2011.16666666667,25248144,2011
A1,"apparel,footwear, & accessories",2,Cable TV,2011.25,28169198,2011
A1,"apparel,footwear, & accessories",2,Cable TV,2011.33333333333,18851994,2011
A1,"apparel,footwear, & accessories",2,Cable TV,2011.41666666667,10535824,2011
A1,"apparel,footwear, & accessories",2,Cable TV,2011.5,11183793,2011
A1,"apparel,footwear, & accessories",2,Cable TV,2011.58333333333,35732723,2011
A1,"apparel,footwear, & accessories",2,Cable TV,2011.66666666667,25503023,2011
A1,"apparel,footwear, & accessories",2,Cable TV,2011.75,21879308,2011
A1,"apparel,footwear, & accessories",2,Cable TV,2011.83333333333,25117345,2011
A1,"apparel,footwear, & accessories",2,Cable TV,2011.91666666667,20333053,2011
A1,"apparel,footwear, & accessories",2,Cable TV,2012,7430861,2012
A1,"apparel,footwear, & accessories",2,Cable TV,2012.08333333333,13040075,2012
A1,"apparel,footwear, & accessories",2,Cable TV,2012.16666666667,16896131,2012
A1,"apparel,footwear, & accessories",2,Cable TV,2012.25,26674481,2012
A1,"apparel,footwear, & accessories",2,Cable TV,2012.33333333333,14167790,2012
A1,"apparel,footwear, & accessories",2,Cable TV,2012.41666666667,13238802,2012
A1,"apparel,footwear, & accessories",2,Cable TV,2012.5,20957156,2012
A1,"apparel,footwear, & accessories",2,Cable TV,2012.58333333333,40638000,2012
A1,"apparel,footwear, & accessories",2,Cable TV,2012.66666666667,37403337,2012
A1,"apparel,footwear, & accessories",2,Cable TV,2012.75,33373378,2012
A1,"apparel,footwear, & accessories",2,Cable TV,2012.83333333333,24183850,2012
A1,"apparel,footwear, & accessories",2,Cable TV,2012.91666666667,25778675,2012
A1,"apparel,footwear, & accessories",2,Cable TV,2013,14754298,2013
A1,"apparel,footwear, & accessories",2,Cable TV,2013.08333333333,15547034,2013
A1,"apparel,footwear, & accessories",2,Cable TV,2013.16666666667,24124064,2013
A1,"apparel,footwear, & accessories",2,Cable TV,2013.25,23073206,2013
A1,"apparel,footwear, & accessories",2,Cable TV,2013.33333333333,15922230,2013
A1,"apparel,footwear, & accessories",2,Cable TV,2013.41666666667,15001102,2013
A1,"apparel,footwear, & accessories",2,Cable TV,2013.5,20378432,2013
A1,"apparel,footwear, & accessories",2,Cable TV,2013.58333333333,27213645,2013
A1,"apparel,footwear, & accessories",2,Cable TV,2013.66666666667,29643118,2013
A1,"apparel,footwear, & accessories",2,Cable TV,2013.75,30639609,2013
A1,"apparel,footwear, & accessories",2,Cable TV,2013.83333333333,25990518,2013
A1,"apparel,footwear, & accessories",2,Cable TV,2013.91666666667,32227166,2013
A1,"apparel,footwear, & accessories",2,Cable TV,2014,8755558,2014
A1,"apparel,footwear, & accessories",2,Cable TV,2014.08333333333,16478196,2014
A1,"apparel,footwear, & accessories",2,Cable TV,2014.16666666667,15001252,2014
A1,"apparel,footwear, & accessories",2,Cable TV,2014.25,24582988,2014
A1,"apparel,footwear, & accessories",2,Cable TV,2014.33333333333,18214137,2014
A1,"apparel,footwear, & accessories",2,Cable TV,2014.41666666667,13102812,2014
A1,"apparel,footwear, & accessories",2,Cable TV,2014.5,13734713,2014
A1,"apparel,footwear, & accessories",2,Cable TV,2014.58333333333,22149711,2014
A1,"apparel,footwear, & accessories",2,Cable TV,2014.66666666667,24836747,2014
A1,"apparel,footwear, & accessories",2,Cable TV,2014.75,16678994,2014
A1,"apparel,footwear, & accessories",2,Cable TV,2014.83333333333,23937273,2014
A1,"apparel,footwear, & accessories",2,Cable TV,2014.91666666667,29651477,2014
A1,"apparel,footwear, & accessories",2,Cable TV,2015,8031406,2015
A1,"apparel,footwear, & accessories",2,Cable TV,2015.08333333333,12314220,2015
A1,"apparel,footwear, & accessories",2,Cable TV,2015.16666666667,20647926,2015
A1,"apparel,footwear, & accessories",2,Cable TV,2015.25,23762878,2015
A1,"apparel,footwear, & accessories",2,Cable TV,2015.33333333333,21198847,2015
A1,"apparel,footwear, & accessories",2,Cable TV,2015.41666666667,13698577,2015
A1,"apparel,footwear, & accessories",2,Cable TV,2015.5,12721503,2015
A1,"apparel,footwear, & accessories",2,Cable TV,2015.58333333333,18593910,2015
A1,"apparel,footwear, & accessories",2,Cable TV,2015.66666666667,28770647,2015
A1,"apparel,footwear, & accessories",2,Cable TV,2015.75,23546737,2015
A1,"apparel,footwear, & accessories",2,Cable TV,2015.83333333333,24076314,2015
A1,"apparel,footwear, & accessories",2,Cable TV,2015.91666666667,26514344,2015
A1,"apparel,footwear, & accessories",3,Syndicated TV,2010,319305,2010
A1,"apparel,footwear, & accessories",3,Syndicated TV,2010.08333333333,208091,2010
A1,"apparel,footwear, & accessories",3,Syndicated TV,2010.16666666667,860966,2010
A1,"apparel,footwear, & accessories",3,Syndicated TV,2010.25,1256120,2010
